Код,Название,Код страны,Официальный,Процент
756,Russian,RUS,T,"86,6"
757,Tatar,RUS,F,"3,2"
758,Udmur,RUS,F,"0,3"
759,Ukrainian,RUS,F,"1,3"
760,French,RWA,T,0
761,Rwanda,RWA,T,100
762,Arabic,SAU,T,95
763,Arabic,SDN,T,"49,4"
764,Bari,SDN,F,"2,5"
765,Beja,SDN,F,"6,4"
766,Chilluk,SDN,F,"1,7"
767,Dinka,SDN,F,"11,5"
768,Fur,SDN,F,"2,1"
769,Lotuko,SDN,F,"1,5"
770,Nubian Languages,SDN,F,"8,1"
771,Nuer,SDN,F,"4,9"
772,Zande,SDN,F,"2,7"
773,Diola,SEN,F,5
774,Ful,SEN,F,"21,7"
775,Malinke,SEN,F,"3,8"
776,Serer,SEN,F,"12,5"
777,Soninke,SEN,F,"1,3"
778,Wolof,SEN,T,"48,1"
779,Chinese,SGP,T,"77,1"
780,Malay,SGP,T,"14,1"
781,Tamil,SGP,T,"7,4"
782,English,SHN,T,0
783,Norwegian,SJM,T,0
784,Russian,SJM,F,0
785,Malenasian Languages,SLB,F,"85,6"
786,Papuan Languages,SLB,F,"8,6"
787,Polynesian Languages,SLB,F,"3,8"
788,Bullom-sherbro,SLE,F,"3,8"
789,Ful,SLE,F,"3,8"
790,Kono-vai,SLE,F,"5,1"
791,Kuranko,SLE,F,"3,4"
792,Limba,SLE,F,"8,3"
793,Mende,SLE,F,"34,8"
794,Temne,SLE,F,"31,8"
795,Yalunka,SLE,F,"3,4"
796,Nahua,SLV,F,0
797,Spanish,SLV,T,100
798,Italian,SMR,T,100
799,Arabic,SOM,T,0
800,Somali,SOM,T,"98,3"
801,French,SPM,T,0
802,Crioulo,STP,F,"86,3"
803,French,STP,F,"0,7"
804,Hindi,SUR,F,0
805,Sranantonga,SUR,F,81
806,Czech and Moravian,SVK,F,"1,1"
807,Hungarian,SVK,F,"10,5"
808,Romani,SVK,F,"1,7"
809,Slovak,SVK,T,"85,6"
810,Ukrainian and Russian,SVK,F,"0,6"
811,Hungarian,SVN,F,"0,5"
812,Serbo-Croatian,SVN,F,"7,9"
813,Slovene,SVN,T,"87,9"
814,Arabic,SWE,F,"0,8"
815,Finnish,SWE,F,"2,4"
816,Norwegian,SWE,F,"0,5"
817,Southern Slavic Languages,SWE,F,"1,3"
818,Spanish,SWE,F,"0,6"
819,Swedish,SWE,T,"89,5"
820,Swazi,SWZ,T,"89,9"
821,Zulu,SWZ,F,2
822,English,SYC,T,"3,8"
823,French,SYC,T,"1,3"
824,Seselwa,SYC,F,"91,3"
825,Arabic,SYR,T,90
826,Kurdish,SYR,F,9
827,English,TCA,T,0
828,Arabic,TCD,T,"12,3"
829,Gorane,TCD,F,"6,2"
830,Hadjarai,TCD,F,"6,7"
831,Kanem-bornu,TCD,F,9
832,Mayo-kebbi,TCD,F,"11,5"
833,Ouaddai,TCD,F,"8,7"
834,Sara,TCD,F,"27,7"
835,Tandjile,TCD,F,"6,5"
836,Ane,TGO,F,"5,7"
837,Ewe,TGO,T,"23,2"
838,Gurma,TGO,F,"3,4"
839,Kabye,TGO,T,"13,8"
840,Kotokoli,TGO,F,"5,7"
841,Moba,TGO,F,"5,4"
842,Naudemba,TGO,F,"4,1"
843,Watyi,TGO,F,"10,3"
844,Chinese,THA,F,"12,1"
845,Khmer,THA,F,"1,3"
846,Kuy,THA,F,"1,1"
847,Lao,THA,F,"26,9"
848,Malay,THA,F,"3,6"
849,Thai,THA,T,"52,6"
850,Russian,TJK,F,"9,7"
851,Tadzhik,TJK,T,"62,2"
852,Uzbek,TJK,F,"23,2"
853,English,TKL,T,0
854,Tokelau,TKL,F,0
855,Kazakh,TKM,F,2
856,Russian,TKM,F,"6,7"
857,Turkmenian,TKM,T,"76,7"
858,Uzbek,TKM,F,"9,2"
859,Portuguese,TMP,T,0
860,Sunda,TMP,F,0
861,English,TON,T,0
862,Tongan,TON,T,"98,3"
863,Creole English,TTO,F,"2,9"
864,English,TTO,F,"93,5"
865,Hindi,TTO,F,"3,4"
866,Arabic,TUN,T,"69,9"
867,Arabic-French,TUN,F,"26,3"
868,Arabic-French-English,TUN,F,"3,2"
869,Arabic,TUR,F,"1,4"
870,Kurdish,TUR,F,"10,6"
871,Turkish,TUR,T,"87,6"
872,English,TUV,T,0
873,Kiribati,TUV,F,"7,5"
874,Tuvalu,TUV,T,"92,5"
875,Ami,TWN,F,"0,6"
876,Atayal,TWN,F,"0,4"
877,Hakka,TWN,F,11
878,Mandarin Chinese,TWN,T,"20,1"
879,Min,TWN,F,"66,7"
880,Paiwan,TWN,F,"0,3"
881,Chaga and Pare,TZA,F,"4,9"
882,Gogo,TZA,F,"3,9"
883,Ha,TZA,F,"3,5"
884,Haya,TZA,F,"5,9"
885,Hehet,TZA,F,"6,9"
886,Luguru,TZA,F,"4,9"
887,Makonde,TZA,F,"5,9"
888,Nyakusa,TZA,F,"5,4"
889,Nyamwesi,TZA,F,"21,1"
890,Shambala,TZA,F,"4,3"
891,Swahili,TZA,T,"8,8"
892,Acholi,UGA,F,"4,4"
893,Ganda,UGA,F,"18,1"
894,Gisu,UGA,F,"4,5"
895,Kiga,UGA,F,"8,3"
896,Lango,UGA,F,"5,9"
897,Lugbara,UGA,F,"4,7"
898,Nkole,UGA,F,"10,7"
899,Rwanda,UGA,F,"3,2"
900,Soga,UGA,F,"8,2"
901,Teso,UGA,F,6
902,Belorussian,UKR,F,"0,3"
903,Bulgariana,UKR,F,"0,3"
904,Hungarian,UKR,F,"0,3"
905,Polish,UKR,F,"0,1"
906,Romanian,UKR,F,"0,7"
907,Russian,UKR,F,"32,9"
908,Ukrainian,UKR,T,"64,7"
909,English,UMI,T,0
910,Spanish,URY,T,"95,7"
911,Chinese,USA,F,"0,6"
912,English,USA,T,"86,2"
913,French,USA,F,"0,7"
914,German,USA,F,"0,7"
915,Italian,USA,F,"0,6"
916,Japanese,USA,F,"0,2"
917,Korean,USA,F,"0,3"
918,Polish,USA,F,"0,3"
919,Portuguese,USA,F,"0,2"
920,Spanish,USA,F,"7,5"
921,Tagalog,USA,F,"0,4"
922,Vietnamese,USA,F,"0,2"
923,Karakalpak,UZB,F,2
924,Kazakh,UZB,F,"3,8"
925,Russian,UZB,F,"10,9"
926,Tadzhik,UZB,F,"4,4"
927,Tatar,UZB,F,"1,8"
928,Uzbek,UZB,T,"72,6"
929,Italian,VAT,T,0
930,Creole English,VCT,F,"99,1"
931,English,VCT,T,0
932,Goajiro,VEN,F,"0,4"
933,Spanish,VEN,T,"96,9"
934,Warrau,VEN,F,"0,1"
935,English,VGB,T,0
936,English,VIR,T,"81,7"
937,French,VIR,F,"2,5"
938,Spanish,VIR,F,"13,3"
939,Chinese,VNM,F,"1,4"
940,Khmer,VNM,F,"1,4"
941,Man,VNM,F,"0,7"
942,Miao,VNM,F,"0,9"
943,Muong,VNM,F,"1,5"
944,Nung,VNM,F,"1,1"
945,Thai,VNM,F,"1,6"
946,Tho,VNM,F,"1,8"
947,Vietnamese,VNM,T,"86,8"
948,Bislama,VUT,T,"56,6"
949,English,VUT,T,"28,3"
950,French,VUT,T,"14,2"
951,Futuna,WLF,F,0
952,Wallis,WLF,F,0
953,English,WSM,T,"0,6"
954,Samoan,WSM,T,"47,5"
955,Samoan-English,WSM,F,52
956,Arabic,YEM,T,"99,6"
957,Soqutri,YEM,F,0
958,Albaniana,YUG,F,"16,5"
959,Hungarian,YUG,F,"3,4"
960,Macedonian,YUG,F,"0,5"
961,Romani,YUG,F,"1,4"
962,Serbo-Croatian,YUG,T,"75,2"
963,Slovak,YUG,F,"0,7"
964,Afrikaans,ZAF,T,"14,3"
965,English,ZAF,T,"8,5"
966,Ndebele,ZAF,F,"1,5"
967,Northsotho,ZAF,F,"9,1"
968,Southsotho,ZAF,F,"7,6"
969,Swazi,ZAF,F,"2,5"
970,Tsonga,ZAF,F,"4,3"
971,Tswana,ZAF,F,"8,1"
972,Venda,ZAF,F,"2,2"
973,Xhosa,ZAF,T,"17,7"
974,Zulu,ZAF,T,"22,7"
975,Bemba,ZMB,F,"29,7"
976,Chewa,ZMB,F,"5,7"
977,Lozi,ZMB,F,"6,4"
978,Nsenga,ZMB,F,"4,3"
979,Nyanja,ZMB,F,"7,8"
980,Tongan,ZMB,F,11
981,English,ZWE,T,"2,2"
982,Ndebele,ZWE,F,"16,2"
983,Nyanja,ZWE,F,"2,2"
984,Shona,ZWE,F,"72,1"
